Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2003","Duke University","Biomedical engineering","Returning Students","Female","39",
"2003","Duke University","Biomedical engineering","Returning Students","Male","69",
"2003","Duke University","Biometry and epidemiology","Total for selected values","Total for selected values","116",
"2003","Duke University","Biometry and epidemiology","Not collected","Total for selected values","116",
"2003","Duke University","Biometry and epidemiology","Not collected","Female","57",
"2003","Duke University","Biometry and epidemiology","Not collected","Male","59",
"2003","Duke University","Cell and molecular biology","Total for selected values","Total for selected values","34",
"2003","Duke University","Cell and molecular biology","First Time Students","Total for selected values","6",
"2003","Duke University","Cell and molecular biology","First Time Students","Female","3",
"2003","Duke University","Cell and molecular biology","First Time Students","Male","3",
"2003","Duke University","Cell and molecular biology","Returning Students","Total for selected values","28",
"2003","Duke University","Cell and molecular biology","Returning Students","Female","12",
"2003","Duke University","Cell and molecular biology","Returning Students","Male","16",
"2003","Duke University","Chemistry","Total for selected values","Total for selected values","102",
"2003","Duke University","Chemistry","First Time Students","Total for selected values","16",
"2003","Duke University","Chemistry","First Time Students","Female","7",
"2003","Duke University","Chemistry","First Time Students","Male","9",
"2003","Duke University","Chemistry","Returning Students","Total for selected values","86",
"2003","Duke University","Chemistry","Returning Students","Female","32",
"2003","Duke University","Chemistry","Returning Students","Male","54",
"2003","Duke University","Civil engineering","Total for selected values","Total for selected values","27",
"2003","Duke University","Civil engineering","First Time Students","Total for selected values","3",
"2003","Duke University","Civil engineering","First Time Students","Female","2",
"2003","Duke University","Civil engineering","First Time Students","Male","1",
"2003","Duke University","Civil engineering","Returning Students","Total for selected values","24",
"2003","Duke University","Civil engineering","Returning Students","Female","6",
"2003","Duke University","Civil engineering","Returning Students","Male","18",
"2003","Duke University","Computer sciences","Total for selected values","Total for selected values","82",
"2003","Duke University","Computer sciences","First Time Students","Total for selected values","12",
"2003","Duke University","Computer sciences","First Time Students","Female","3",
"2003","Duke University","Computer sciences","First Time Students","Male","9",
"2003","Duke University","Computer sciences","Not collected","Total for selected values","4",
"2003","Duke University","Computer sciences","Not collected","Female","2",
"2003","Duke University","Computer sciences","Not collected","Male","2",
"2003","Duke University","Computer sciences","Returning Students","Total for selected values","66",
"2003","Duke University","Computer sciences","Returning Students","Female","17",
"2003","Duke University","Computer sciences","Returning Students","Male","49",
"2003","Duke University","Economics (except agricultural)","Total for selected values","Total for selected values","83",
"2003","Duke University","Economics (except agricultural)","Not collected","Total for selected values","23",
"2003","Duke University","Economics (except agricultural)","Not collected","Female","8",
"2003","Duke University","Economics (except agricultural)","Not collected","Male","15",
"2003","Duke University","Economics (except agricultural)","Returning Students","Total for selected values","60",
"2003","Duke University","Economics (except agricultural)","Returning Students","Female","19",
"2003","Duke University","Economics (except agricultural)","Returning Students","Male","41",
"2003","Duke University","Electrical engineering","Total for selected values","Total for selected values","113",
"2003","Duke University","Electrical engineering","First Time Students","Total for selected values","20",
"2003","Duke University","Electrical engineering","First Time Students","Female","7",
"2003","Duke University","Electrical engineering","First Time Students","Male","13",
